연령별,입술 구강 및 인두(C00-C14),식도(C15),위(C16),대장(C18-C20),간(C22),담낭 및 기타 담도(C23-C24),췌장(C25),후두(C32),폐(C33-C34),유방(C50),자궁경부(C53),자궁체부(C54),난소(C56),전립선(C61),고환(C62),신장(C64),방광(C67),뇌 및 중추신경계(C70-C72),갑상선(C73),호지킨 림프종(C81),비호지킨 림프종(C82-C86C96),다발성 골수종(C90),백혈병(C91-C95),기타 암(Re. C00-C96)
0-4세,0.1,-,-,-,0.9,-,-,-,-,-,-,-,0.1,-,0.9,1.0,0.1,2.2,-,-,0.9,-,8.0,5.3
5-9세,0.1,-,-,-,0.3,-,0.1,-,0.1,-,-,-,0.1,-,-,0.3,-,1.6,0.2,-,0.9,-,4.5,2.7
10-14세,0.2,-,-,0.1,0.3,-,0.3,-,-,-,-,-,1.0,-,-,0.2,-,2.3,1.4,0.1,1.5,-,3.3,3.4
15-19세,0.5,-,-,0.6,0.1,-,0.9,-,-,0.1,-,0.1,1.2,-,0.2,0.1,-,1.4,6.5,0.8,1.4,-,3.7,6.1
20-24세,1.2,0.1,0.4,1.8,0.2,-,0.8,-,0.4,0.7,0.2,0.8,1.5,-,1.3,0.8,0.1,1.5,24.8,1.4,2.0,-,3.8,6.7
25-29세,2.2,0.1,1.6,8.2,0.3,0.1,0.8,-,0.6,5.2,1.7,2.3,2.3,-,1.9,2.1,0.1,1.6,64.7,1.0,2.0,0.1,3.1,8.0
30-34세,2.1,-,3.3,19.3,1.1,0.1,1.4,0.1,2.7,15.5,5.7,4.2,2.6,-,2.0,4.3,0.3,1.8,105.1,1.1,4.0,0.2,3.6,10.9
35-39세,3.0,-,7.8,30.0,3.4,0.4,1.9,0.1,4.5,40.4,8.5,6.4,3.9,0.2,1.3,8.1,0.6,2.7,118.5,0.7,5.2,0.4,4.3,15.5
40-44세,5.1,0.6,18.9,38.4,7.2,1.2,4.0,0.1,8.3,89.2,9.5,7.5,5.4,0.7,0.8,11.9,1.2,2.6,127.7,0.5,7.2,0.8,4.8,21.8
45-49세,6.4,1.9,28.4,43.2,13.5,2.6,6.6,0.5,16.7,127.5,8.5,10.6,9.3,2.2,0.4,13.9,2.6,3.1,112.1,0.5,7.9,1.4,5.8,27.4
50-54세,9.9,3.6,47.7,68.4,25.2,5.8,11.3,1.3,29.3,110.3,8.3,16.3,11.3,7.6,0.2,17.7,5.1,3.3,101.1,0.4,10.9,2.6,6.5,37.8
55-59세,13.8,7.5,72.4,81.9,38.9,10.3,18.8,2.9,55.1,92.0,8.3,16.6,11.5,26.5,0.1,21.7,8.7,3.9,86.9,0.4,14.2,4.0,7.8,49.5
60-64세,18.3,14.8,111.9,105.6,53.3,18.8,31.1,5.9,104.5,93.4,8.2,13.8,9.3,71.0,0.2,27.6,15.7,5.2,78.5,0.7,18.9,7.1,10.9,70.3
65-69세,22.1,18.8,146.8,129.4,69.4,34.6,44.3,7.8,173.5,82.4,7.8,11.4,9.4,142.9,0.2,32.5,26.9,6.7,63.2,0.8,25.0,11.4,14.6,100.6
70-74세,26.0,22.3,183.0,153.8,87.0,58.5,62.0,9.2,253.4,76.4,7.9,10.6,10.2,222.7,0.1,35.3,39.8,10.2,47.6,1.2,31.8,15.3,20.3,140.7
75-79세,28.6,23.3,207.1,187.3,106.3,79.9,82.2,10.2,311.9,68.0,8.4,8.6,10.5,264.9,0.2,34.8,52.0,11.4,33.0,0.8,38.5,19.5,23.2,188.1
80-84세,24.7,21.1,203.5,236.8,122.4,110.3,100.5,8.8,335.0,54.7,11.3,6.4,11.0,220.5,0.2,27.9,67.0,13.5,20.5,1.4,44.2,20.5,26.4,242.2
85세이상,20.4,17.2,187.1,271.4,117.4,116.3,106.2,5.3,288.3,37.2,12.2,3.7,10.2,119.6,0.2,18.6,61.8,12.5,11.7,0.7,37.6,11.2,23.2,292.0
연령미상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
