"사망원인별(237항목)","성별","연령(5세)별",1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"사망원인별(237항목)","성별","연령(5세)별",사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당),사망률 (십만명당)
"콜레라 (A00)","계","계",0.0,0.0,0.0,-,0.0,-,-,-,0.0,-,-,0.0,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,0.0,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-
"장티푸스 및 파라티푸스 (A01)","계","계",0.3,0.3,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,0.0,-,-,-,0.0,0.0,0.0,-,-,0.0,-,-,-,-,-,-,-,-,-,0.0
"살모넬라 및 세균성 식중독 (A02, A05)","계","계",0.4,0.5,0.5,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1
"나머지 장 감염 질환 (Re. A00- A09)","계","계",2.5,2.4,1.8,1.4,1.1,0.8,0.7,1.0,0.8,0.7,0.7,0.8,0.4,0.3,0.3,0.3,0.3,0.5,0.4,0.3,0.2,0.2,0.2,0.2,0.4,0.5,0.8,1.1,1.4,1.5,1.4,1.3,1.3,1.6,1.7,1.8,1.6,1.6,1.6,1.8,2.1,2.4
"호흡기 결핵 (A15-A16)","계","계",18.8,16.8,15.4,14.2,12.8,11.5,10.2,9.3,9.0,9.2,9.2,8.9,8.3,7.4,7.2,7.2,6.8,6.8,6.4,6.6,6.6,5.8,5.6,5.2,4.5,4.3,4.3,4.4,4.3,4.5,4.1,4.2,4.0,4.0,3.3,3.2,2.9,2.4,2.6,2.4,2.4,2.5
"기타 결핵 (A17-A19)","계","계",0.9,0.8,0.7,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.4,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2
"렙토스피라증 (A27)","계","계",-,-,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,-,-,0.0,-,-,0.0,0.0,0.0,0.0,0.0,-,-
"나병[한센병] (A30)","계","계",0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.0,0.0,-,-
"파상풍 (A33-A35)","계","계",0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
